2019-06-25 00:00:27.840  INFO 14364 --- [RMI TCP Connection(4)-127.0.0.1] inMXBeanRegistrar$SpringApplicationAdmin : Application shutdown requested.
2019-06-25 00:00:27.858  INFO 14364 --- [RMI TCP Connection(4)-127.0.0.1] o.s.s.c.ThreadPoolTaskScheduler          : Shutting down ExecutorService 'taskScheduler'
2019-06-25 00:00:27.861  INFO 14364 --- [RMI TCP Connection(4)-127.0.0.1] o.s.s.concurrent.ThreadPoolTaskExecutor  : Shutting down ExecutorService 'applicationTaskExecutor'
2019-06-25 00:00:47.734  INFO 20300 --- [main] org.rainbow.finance.RainbowApplication   : Starting RainbowApplication on Anish with PID 20300 (C:\Users\Amiti\git\repository\work-holic\rainbow\target\classes started by Amiti in C:\Users\Amiti\git\repository\work-holic\rainbow)
2019-06-25 00:00:47.747  INFO 20300 --- [main] org.rainbow.finance.RainbowApplication   : No active profile set, falling back to default profiles: default
2019-06-25 00:00:50.492  INFO 20300 --- [main] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat initialized with port(s): 8080 (http)
2019-06-25 00:00:50.601  INFO 20300 --- [main] o.apache.catalina.core.StandardService   : Starting service [Tomcat]
2019-06-25 00:00:50.603  INFO 20300 --- [main] org.apache.catalina.core.StandardEngine  : Starting Servlet engine: [Apache Tomcat/9.0.16]
2019-06-25 00:00:50.625  INFO 20300 --- [main] o.a.catalina.core.AprLifecycleListener   : The APR based Apache Tomcat Native library which allows optimal performance in production environments was not found on the java.library.path: [C:\Program Files\Java\jre1.8.0_162\bin;C:\WINDOWS\Sun\Java\bin;C:\WINDOWS\system32;C:\WINDOWS;C:/Program Files/Java/jre1.8.0_162/bin/server;C:/Program Files/Java/jre1.8.0_162/bin;C:/Program Files/Java/jre1.8.0_162/lib/amd64;C:\app\Amiti\virtual\product\12.2.0\dbhome_1\bin;C:\ProgramData\Oracle\Java\javapath;C:\WINDOWS\system32;C:\WINDOWS;C:\WINDOWS\System32\Wbem;C:\WINDOWS\System32\WindowsPowerShell\v1.0\;C:\Program Files\TortoiseSVN\bin;C:\Program Files\Java\jdk1.8.0_162\bin;C:\WINDOWS\System32\OpenSSH\;C:\Python27;C:\Python27\Scripts;C:\Program Files (x86)\GnuWin32\bin;C:\Program Files\SlikSvn\bin;E:\oc;C:\apache-maven-3.5.2\bin;D:\jboss-eap-6.4;C:\Program Files\nodejs\;C:\Ruby25-x64\bin;C:\Users\Amiti\AppData\Local\Microsoft\WindowsApps;C:\Program Files (x86)\SSH Communications Security\SSH Secure Shell;C:\Program Files\Java\jdk1.8.0_162;C:\Program Files\Java\jdk1.8.0_162\bin\jar.exe;C:\Python27;C:\Python27\Scripts;C:\Program Files (x86)\GnuWin32\bin;C:\Program Files\SlikSvn\bin;E:\oc\oc.exe;C:\apache-maven-3.5.2\bin;D:\jboss-eap-6.4;C:\apache-ant-1.6.5\bin;C:\Users\Amiti\AppData\Local\GitHubDesktop\bin;C:\Users\Amiti\AppData\Roaming\npm;D:\sts-4.1.1.RELEASE;;.]
2019-06-25 00:00:51.103  INFO 20300 --- [main] o.a.c.c.C.[Tomcat].[localhost].[/]       : Initializing Spring embedded WebApplicationContext
2019-06-25 00:00:51.104  INFO 20300 --- [main] o.s.web.context.ContextLoader            : Root WebApplicationContext: initialization completed in 3209 ms
